"","index","filename","date","year","month","day"
"1",1,"Moley_newsweek_1942-09-28_20_13.txt","1942-09-28","1942","09","28"
"2",2,"Moley_newsweek_1942-10-19_20_16.txt","1942-10-19","1942","10","19"
"3",3,"Moley_newsweek_1942-11-16_20_20.txt","1942-11-16","1942","11","16"
"4",4,"Moley_newsweek_1942-12-07_20_23.txt","1942-12-07","1942","12","07"
"5",5,"Moley_newsweek_1956-08-13_48_7.txt","1956-08-13","1956","08","13"
"6",6,"Moley_newsweek_1956-09-10_48_11.txt","1956-09-10","1956","09","10"
"7",7,"Moley_newsweek_1956-10-22_48_17.txt","1956-10-22","1956","10","22"
"8",8,"Moley_newsweek_1956-11-05_48_19.txt","1956-11-05","1956","11","05"
"9",9,"Moley_newsweek_1956-12-10_48_24.txt","1956-12-10","1956","12","10"
"10",10,"perspective_1948-07-26_newsweek.txt","1948-07-26","1948","07","26"
"11",11,"perspective_1948-08-09_sim_newsweek-us.txt","1948-08-09","1948","08","09"
"12",12,"perspective_1948-09-06_sim_newsweek-us.txt","1948-09-06","1948","09","06"
"13",13,"perspective_1948-10-18_sim_newsweek-us.txt","1948-10-18","1948","10","18"
"14",14,"perspective_1948-11-15_sim_newsweek-us.txt","1948-11-15","1948","11","15"
"15",15,"Perspective_1948-12-06_sim_newsweek-us.txt","1948-12-06","1948","12","06"
