"","bigram","n"
"1","republican   party",16
"2","patent   office",15
"3","u.s   patent",15
"4","labor   party",12
"5","registered   u.s",11
"6","federal   aid",10
"7","provided   note",10
"8","roll   calls",10
"9","afl   cio",8
"10","democratic   party",8
"11","federal   government",8
"12","national   committee",8
"13","vice   president",8
"14","labor   unions",7
"15","column   layout",6
"16","rural   electrification",6
"17","british   socialists",5
"18","class   struggle",5
"19","congressional   quarterly",5
"20","potential   voters",5
"21","remain   due",5
"22","republican   candidates",5
"23","social   security",5
